descricao;clean
TETRACAINA (CLORIDRATO) + FENILEFRINA (CLORIDRATO) 10ML FR GTS;7897316801079
AGUA BIDESTILADA 500ML FR;7897947706699
ONDANSETRONA (CLORIDRATO) 4MG/2ML AP;7896727806031
ISOSSORBIDA (DINITRATO) 10MG CP;7894916550086
AMPICILINA 1G FA;7896112192152
FLUXOCOR 40 MG C/ 30 CP REV;7896422500883
GABAPENTINA 300MG 30CPS;7896004713274
SULFATO DE AMICACINA 250MG/2ML AMP;7896112190707
LACTATO DE MILRINONA PRIMACOR 1MG SOL INJ AMP X 10ML;7891058006204
PRAMIPEXOL 1MG CPR;7897852900694
VASTAREL 35MG CPR;7898029558748
GINKGO BILOBA 80MG CPR;7896523206479
LAMOTRIGINA 50MG CPR;7898146820827
LEVODOPA+CLOR DE BENSERAZIDA 200/50 MG CPR;7896226500515
GABAPENTINA 400MG CPR;7899547514377
ACETILCISTEINA 200MG CPR;7896004708706
TORAGESIC 10MG CPR;7894916501415
BETAMETASONA+CALCIPOTRIOL 50MCG TB 30G;5702191007916
CITALOPRAM 20MG CPR;7895296408011
GABAPENTINA 600MG CPR;7896004727035
DONAREN 100MG CPR;7896637023979
ICTUS 6,25MG CPR;7896112426189
ETNA CPR;7892828001344
LOSARTANA POTASSICA 100MG CPR;7899547505269
CLOR SERTRALINA 25MG CPR;7891317456559
OXALATO DE ESCITALOPRAM GTS 20MG/ML 15ML;7891317191740
SUSTRATE CPR;7898040323141
VENLAFAXINA 150MG CPR;7891317472337
COGLIVE 8MG CPR;7896094208339
SULF GLUCOSAMINA+SULF CONDROITINA CPR;7891200294466
CETAPHIL SABONETE;7897930760387
FISIOGEL AL LOCAO FR 120ML;7896251803377
PANTOGAR CPR;7896112425328
ATENOLOL+CLORTALIDONA 100/25MG CPR;7894916144681
PROLOPA BD 100/25MG CPR;7896226506371
LIPLESS 100MG CPR;7896112416142
ANDROCUR 50 MG COMP X 20;7891106907484
PLAQUINOL 400 MG CPR C/30;7897595900302
GLICOSE 5% EP 100ML;7891543000090
AGUA PARA INJECAO EP 500ML;7891543000038
GLICOSE 10% EP 500ML;7891543000212
FUM DE QUETIAPINA 100MG COMPR C30 NOVQUIMICA;7895296089098
DIPROSONE CREME 30GR;7891142141279
DEPAKENE 500MG COMPR C50;7891158000898
ADDERA D3 7000UI CAPS MOLES C10;7897322709734
RANITIDINA HCL 150MG COMPR C20 MEDQUIMICA;7896862918071
GLIFAGE XR 750MG COMPR C30;7891721027451
LYRICA  75MG C28 CPS;7891268116250
ARTROLIVE 4MG C30 SACHES;7896658021268
TEGRETOL 200MG COMPR C20;7896261000094
ATORVASTATINA 10MG COMPR C30 G NEO QUIMICA;7896714234366
NIFEDIPINA  NIFEDIPRESS RET 20MG C30;7896862910747
DESLORATADINA 5MG C10 COMPR GERMED;7896004725673
CLOR VENLAFAXINA 75MG CAPS C30 EUROFARMA;7891317430368
FUM DE QUETIAPINA 100MG COMPR C30 NOVAQUIMICA;7895296089098
SOMALGIN 100MG COMPR C32;7894916209892
LACRIFILM COL 15ML;7896006290216
LACRIMA PLUS 15ML;7896548113059
ZOLPIDEM 10MG COMP C20 G GERMED;7896004725017
COZAAR 50MG C30 COMPR;7897337706384
CLOR PROPRANOLOL 80MG COMPR C30 NEO QUIMICA;7896714205199
OMEPRAZOL 40MG CAPS C30 PRATIDONADUZI;7899547527667
SORO FISIOLOGICO-0,9% S.F. CX 20 FRASCO FECHADO 500ML;7898153652336
BROMOPRIDA-4MG/ML GOTAS FR 20ML S/C GEN;4068730
BIMATOPROSTA-0,3% FRAS 5ML GEN SOL OFT;7895296198011
CUTENOX-20MG 0,2ML SOL INJ/IV CX 10 SERINGAS;7897406111361
RHOPHYLAC-300MCG SER PREENCHIDA 2ML;7897499450842
FENITOINA 50MG INJ 100AP 5ML *HG HIPOL (C1);7898123906605
PEPSAMAR 50CP;7897595903747
SIMETICONA GT.CI.15ML;7896523212319
DIPIRONA GT.EMS 20ML;7896004718446
SIMETICONA 125 CI 10CS;7896523226675
SULF.NEO+BACIT.CI 15G;7896523209142
LANSOPRAZOL+CLARIT+AMOX 28CP TEU;7896112151180
TRISORB OFT 15ML;7896548140222
RINGER C/ LACTATO 0500MLX30 FSF FRE;7897947706644
MIDAZOLAM 50MG 10MLX100(B1)(G)HIP;7898123907480
CLOPIDOGREL 75MG 30CPR(G)AUR;7898361885335
SULFATO FERROSO 40MG 20CP BLT;7896202502359
TENSIOVAL 250MG 010CP BLT;7896137101351
ISOFLURANO 100ML(G)(C1)BIO;7897406114850
DOPAMINA 5MG/ML 10MLX50(G)TEU;7896112190745
VASELINA SOLIDA EM PASTA;2073730000006
POLVILHO ANTI-SEPTICO GRANADO UND 1 X 1 100G;7896512904089
HIDROXIUREIA 500MG HYDREA BRISTOL (B-MS);7896016800696
ENOXAPARINA 60MG 0,6ML SC / IV C/TRAVA SEG MYLAN CUTENOX SD AGILA ESPECIALIDADES;7898560663321
HIDROXIDO DE ALUMINIO 60MG/ML 240ML HORTELA MARIOL;7898566660188
ESCOVA PVPI 10% SOLUCAO DEGERMANTE MN SCRUB CRISTALIA;7896676401301
INDAPAMIDA 1,5MG LIBERACAO PROLONGADA GENERICO GRUPO EMS SIGMA PHARMA;7896004728827
GLICOSE 10% 250ML - SISTEMA FECHADO FRESENIUS KABI;7897947706569
MANITOL 20% 250ML FRESENIUS KABI;7897947706620
MIDAZOLAM 5MG/ML - 15MG 3ML P 344 B1 GENERICO TEUTO;7896112175216
ISOSSORBIDA 10MG ISORDIL GRUPO EMS SIGMA PHARMA;7894916550086
HEMITARTARATO DE ZOLPIDEM 10MG BIOLAB SANUS;7896112425175
ENOXAPARINA 60MG 0,6ML SC / IV C/TRAVA SEG VERSA EUROFARMA;7891317450113
ENOXAPARINA 40MG 0,4ML C/TRAVA SEG SC / IV MYLAN CUTENOX SD;7898560663314
SERTRALINA 50MG P 344 C1 GENERICO GRUPO EMS SIGMA PHARMA;7896004706344
SACCHAROMYCES BOULARDIL 200MG LEGRAND;7896004720838
IPRATROPIO 0,25MG/ML 20ML GENERICO TEUTO;7898470681200
ACIDO FOLICO 5MG HIPOLABOR;7898470680531
SACCHAROMYCES BOULARDIL 100MG FLORENT CIFARMA;7898158692221
ATROPINA 0,5% 5ML - 000010391;7897316801130
CETOPROFENO 100 MG - 2ML IV FABRICANTE: UNIAO QUIMICA;7896006252160
ENOXAPARINA 40 MG - INJETAVEL SC  FABRICANTE: GLAND PHARMA;7898560663314
ENOXAPARINA 20 MG - INJETAVEL SC FABRICANTE: GLAND PHARMA;7898560663291
CETOPROFENO 50 MG/ML - 2ML SOL. INJ. IM  FABRICANTE: UNIAO QUIMICA;7896006213543
ESCOPOLAMINA 4MG/ML + DIPIRONA 500MG/ML - 5ML FABRICANTE: HYPOFARMA;7898122910894
FLUCONAZOL 150MG FABRICANTE: MEDQUIMICA;7896862970574
CETOPROFENO 100MG FABRICANTE: MEDLEY;7896422507295
CETOPROFENO 50MG FABRICANTE: MEDLEY;7896422507349
ANESTESICO TOPICO BENZOCAINA GEL - 200 MG FABRICANTE: DFL;7894590503910
FLUOXETINA 20 MG FABRICANTE: TEUTO P:344/98;7896112125723
NEOSTIGMINA 0,5 MG/ML 1ML FABRICANTE: UNIAO QUIMICA;7896006237556
TERBUTALINA (SULFATO) 0,5MG/ML 1ML  FABRICANTE: HIPOLABOR;7898123908913
ERITROPOIETINA 4000UI FABRICANTE: BLAU;7896014660179
RINGER C/ LACTATO 500ML SISTEMA FECHADO FABRICANTE: EQUIPLEX;7898007677270
BAMIFILINA 600MG FABRICANTE: CHIESI;7896672201882
CLORETO DE SODIO 0,9% 100 ML FABRICANTE: EQUIPLEX;7898007677157
RANITIDINA CLORIDRATO 25 MG/ML SOL.INJ. - 2 ML FABRICANTE: TEUTO;7896112126607
ACIDOS GRAXOS ESSENCIAIS+VIT A+VIT E+LEC.SOJA LOCAO 100ML FABRICANTE: NUTRIEX;7898947017150
SULFAMETOXAZOL + TRIMETOPRIMA 40+0,8% FR 60ML SUSP GENERICO TEUTO;7896112125266
NITROGLICERINA 5 MG/ML 10 ML TRIDIL CRISTALIA;7896676415292
SODIO, CLORETO DE 0,9% 100ML SAPP-FLEX SANOBIOL;7898153651940
ADRENALINA / EPINEFRINA 1MG/ML 2ML ADREN HIPOLABOR;7898123900023
NAPRIX 5MG CX 30 COMP;7896094206366
ACCU-CHEK SOFTILIX 25 LANCETS;4015630018277
PROMETAZINA 50MG/ML AMP 2ML/CRISTALIA;7896676403459
MEBENDAZOL 100MG COMP/SOBRAL;7890000128902
PENTOXIFILINA 20MG/ML AMP 5ML/UNIAO QUIMICA;7896006226161
FENITOINA FENITAL 100MG COMP/CRISTALIA;7890000163255
CLORPROMAZINA 100MG COMP/CRISTALIA;7896676403398
DIMETICONA 75MG/ML GTS 15ML/PRATI, DONADUZZI;7898148290321
OLEO MINERAL FR 100ML/MULTILAB;7896472500109
CETOCONAZOL SHAMPOO 100ML /EMS GEN;7896004700984
DEXCLORFENIRAMINA MALEATO 0,4MG/ML FR 120ML/FARMACE;7890000152600
DEXCLORFENIRAMINA 0,4MG/ML XPE 100ML FR/HIPOLABOR;7898470680937
AGULHA HIP. 30X7 (22GX1 1/4)/WILTEX;7891721201516
AGULHA HIP. 25 X 8/WILTEX;7890000165983
SONDA FOLEY 2 VIAS NO 18 5CC UN/SOLIDOR;7890000156899
COLETOR DE URINA 1.200L SIST. ABERTO TIPO GARRAFA/MEDSONDA;7896094207851
TERMOMETRO OVAL PREMIUM/CBEMED;8902220106079
PERA P/ ECG/CBEMED;7890000166454
CATETER IV PERIF. C/AG 18GX32MM/POLYMED;7896094207851
ACIDO URSODESOXICOLICO URSACOL 300MG COMP/ZAMBON;7898074618305
PREDNISOLONA 3MG/ML SOL ORAL FRASC 60ML/PRATI DONADUZZI;7898148296552
HALOPERIDOL 2MG/ML 20ML C1/CRISTALIA/C1;7896676405149
DEPAKENE 500MG C/50 COMP C1/ABBOTT/C1;7891158000898
LORAZEPAM 2MG COMP B1/GERMED/B1;7896004709383
TINIDAZOL + MICONAZOL CR VAG 45G BISN./GEOLAB;7899095230095
TINIDAZOL 500MG COMP;7896004720692
DIOSMINA + HESPERIDINA 450MG + 50MG COMP V.P./SERVIER;7890000077088
CARVEDILOL CARDBET 3,125 COMP/NOVA QUIMICA;7895296261036
FENTANEST 0,05MG FR 10ML/CRISTALIA;7896676407662
AMOXICILINA+CLAV. 50MG/ML+12,5MG/ML SUSP. 75ML FR/EMS;7896004760605
PENTOXIFILINA 20MG INJ 5ML AMP/UNIAO QUIM;7896006226161
MONONYLON NO2 C/AG TRIANGULAR 45CM X 2CM/TECNOFIO;7896094207851
REANIMADOR MANUAL DE SOLICONE C/ RESERV. ADULTO/MD;7896094207851
MONONYLON NO5 C/AG TRIANGULAR 45CM X 2CM/TECNOFIO;7896094207851
MONONYLON NO4 C/AG TRIANGULAR 45CM X 2CM/TECNOFIO;7896094207851
MONONYLON NO3 C/AG TRIANGULAR 45CM X 2CM/TECNOFIO;7896094207851
ACETILCISTEINA 20MG/ML XPE INF 120ML/EMS GEN;7896004715292
SONDA FOLEY 2 VIAS NO 18 30ML/WELL LEAD;7890000164313
CATETER INTRAVENOSO NO 24 C/100 UNID;7890000075824
FLUCONAZOL 2MG/ML SOL INJ 100ML/HALEX ISTAR;7896727845016
BROMAZEPAM 3MG C/30 COMP B1/EMS GEN/B1;7896004716268
FILME P/ RAIO X 30X40 C/100 UN/FUJIFILM;7890000155984
MASCARA CIRURGICA BICO DE PATO N95/KSN;7890000163859
ADALAT RET 10MG COMP/BAYER;7891106001588
FILME P/ RAIO X 35X35 C/100 UN/FUJIFILM;7890000155991
COLIRIO ANESTESICO FR C/ 10 ML;7890000070270
MASCARA CIRURGICA COM ELASTICO UN;7890000036405
FLET ENEMA PHOSFOENEMA 160MG/ML + 60MG/ML FR 130ML/CRISTALIA;7896676401608
SUPOSITORIO DE GLICERINA INFANTIL C/12 UN/GRANADO;7896512901408
IONCLOR 6% SOL OR 100ML/PRATI;7898148294879
LATANOPROSTA 0,005 - SOL OFTALMICA 2,5ML;7896004724508
CARBAMAZEPINA 400MG COMP/GERMED/C1;7896004707174
CICLOBENZAPRINA MIOREX 10MG COMP/MELCON;7898907312929
CARBONATO DE CALCIO + COLECALCIF. 600MG+400UI COMP/IMEC;7898179710454
PROPIONATO DE CLOBETASOL POM 30G /EMS GEN;7896004712437
METRONIDAZOL GEL 50G + 10 APLIC/PRATI, DONADUZZI;7896472505777
CLOMIPRAMINA 25MG COMP/EMS/C1;7896004701301
CLORPROMAZINA 40MG/ML 20ML C1/CRISTALIA/C1;7896676402520
METILDOPA 500MG COMP;7898272940628
INIBINA 10MG AD AMP 2ML/APSEN;7896637022354
REPOFLOR 200MG C/6 CPS/LEGRAND;7896004720838
CLORIDRATO DE CLOMIPRAMINA 25MG COMP/C1;7896004709871
DULOXETINA CLORIDRATO 60MG C/30 COMP/NOVA QUIMICA/C1;7895296354035
VICOG 5MG C/30 COMP/MARJAN;7896226102542
MONTELUCASTE DE SODIO 10MG COMP/ZYDUS;7896658014192
OXCARBAZEPINA 300MG C/30 COMP/C1;7896422511902
OXCARBAZEPINA 600MG C/30 COMP C1/TORRENT/C1;7896422511940
NATRILIX 1,5MG SR C/30 COMP/SERVIER;7898029556829
DUOVENT N 0,02/0,05MG 200DOSES 10 ML/ALCON;7896026304917
SULFATO FERROSO 25MG/ML GTS 30ML/HIPOLABOR;7896112144892
IODETO DE POTASSIO IONCLOR 6% SOL OR 100ML/PRATI;7898148294879
CARVEDILOL CARDBET 12,5 C/30 COMP/NOVA QUIMICA;7895296261012
DILTIAZEM 60MG CLORIDRATO COMP/EMS GEN;7896004700403
CLORIDRATO OXIBUTININA 150MG XPE 120ML/EMS GEN;7896004716732
PANTOPRAZOL 40MG C/28 COMP/GERMED;7896004708508
MESILATO DE DOXAZOSINA 4MG C/30 COMP/MERCK;7891721023507
DOMPERIDONA 10MG C/30 COMP/NOVA QUIMICA;7895296048033
VALSARTANA 320MG COMP/GERMED;7896004732923
BUCLINA 25MG C/30 COMP/SANOFI-AVENTIS;7891058019365
BUSCOPAN COMPOSTO C/20 COMP/BOEHRINGER;7896026301428
AZORGA COL 6ML/ALCON;7890000123549
TORLOS H 50MG + 12,5MG CX C/30 COMP/TORRENT;8903855062020
TEOLONG 100MG CX C/30 COMP/ABBOTT;7896255717717
LEVOTIROXINA SODICA 25MG C/30 COMP/MERCK;7891721019791
CARDIZEM CD 240MG C/16 COMP/BOEHRINGER;7896026302661
SELOKEN 100MG CX C/30 COMP/ASTRAZENECA;7896094207851
ARTROLIVE 30ENV 4GR/ACHE;7896658021268
ADDERA D3 10.000UI/ML SOL OR 10ML/FARMASA;7897322710020
DEFLAZACORTE 6MG COMP/EMS;7896004709307
ALGINAC RETARD 1+100+100+100MG C/10 COMP/MERCK;7891721023965
FRESH TEARS 5MG/ML SOL OF 15ML/ALLERGAN;7897316804964
OXALATO DE ESCITALOPRAM 20MG CX C/30 COMP/GEOLAB;7899095238824
CIPROFIBRATO 100MG C/30 COMP/EUROFARMA;7891317001322
FAMOX 20MG C/10 COMP/ACHE;7896658000379
VENALOT H CR 240ML/NYCOMED;7896641809545
VONAU FLASH 8 MG C/ 10;7890000063555
ARIPIPRAZOL 10MG COMP/C1;7896658016103
ARTRODAR 50MG C/30 COMP/TRB PHARMA;7896281152018
PROLOPA HBS 100 + 25MG C/30 CAPS/ROCHE;7896226500362
LACRIBELL COL 15ML;7896180300183
DOMPERIDONA 10MG C/30 COMP/EMS GEN;7896004723563
ARTROLIVE 500 + 400MG C/90 COMP/ACHE;7896658004391
ATROPINA COL 5ML;7897316801154
LACRIMA PLUS GTS 15ML/ALCON;7896548113059
DEPURA KIDSS 5600UI/ML GTS 10ML/SANOFI;7891058016173
DIOVAN AMLO FIX 320/5MG C/28 COMP;7890000069052
GALVUS MET 50/1000MG C/56 COMP/NOVARTIS;7896261016262
PRESSAT 2,5MG C/30 COMP/BIOLAB;7896112432401
LYRICA 150MG CX C/28 COMP/PFIZER;7891268116359
SEEBRI 50MCG C/30 CAPS/NOVARTIS;7896261020184
ELIQUIS 5MG C/60 COMP/BRISTOL;7896016807800
JANUVIA 50MG C/28 COMP/MERCK;7897337707626
LYRICA 75MG C/ 28 COMP C1/PFIZER/C1;7891268116250
MAXSULID 400MG C/10 COMP/FARMASA;7897322701738
PRIMID 100MG C/100 COMP C1/APSEN/C1;7896637025225
AVAMYS 27,5MG SPRAY NASAL C/120 DOSES/GSK;7896015518875
GALVUS MET 50 + 500MG C/56 COMP/NOVARTIS;7896261016248
TRESIBA FLEXTOUCH 100UI AMP 3ML/NOVA NORDISK;7897705201916
NOVOLIN R 5X3ML/ELI LILLY;7896382702495
LANTUS SOLOSTAR 100UI AMP 3ML/SANOFI AVENTIS;7891058003029
VICTOZA 6MG/ML SOL INJ 2 CARPULE /NOVO NORDISK;7897705201770
LANTUS 100UI 10ML/SANOFI AVENTIS;7891058009205
DONILA DUO 10+20MG C/30 COMP/ACHE/C1;7896658022944
DIOSMIN SDU LARANJA/LIMAO C/30/ACHE;7896658011368
ROSUVASTATINA CALCICA 20MG C/30 COMP/GERMED;7896004728865
GANFORT 5ML/ALLERGAN;7897316805237
PROLOPA BD 125MG C/60 COMP/ROCHE;7896226506388
VALSARTANA 160MG C/30 COMP/GERMED;7896004732916
VALSARTANA + HIDR. 80+12,5MG CX C/30 COMP/NOVA QUIMICA;7895296094368
PANTOPRAZOL 40MG C/28 COMP/EUROFARMA;7891317120863
COMBIGAN FR 10ML/ALLERGAN;7897316804780
TEBONIN 120MG C/30 COMP/NYCOMED;7896641807404
NOREPINEFRINA HEMITARTARATO 8MG 4ML/HYPOFARMA;7898122913000
AMBROXOL CLORIDRATO 6MG/ML AD 120ML/FARMACE;7898166041608
LIDOCAINA 20MG/ML S/VASO SOL INJ 20ML FR/HYPOFARMA;7898122911808
PROPOFOL PROPOVAN 10MG/ML AMP 20ML/CRISTALIA;7896676411157
HIDROCORTISONA 500MG AMP/TEUTO;7896112125969
CLORETO DE SODIO 0,9% 500ML SIST FECH FR/FRESENIUS KABI;7890000152723
CLORETO DE SODIO 0,9% 250ML SIST FECH FR/FRESENIUS KABI;7898007677393
CARBONATO DE LITIO 300MG (COMPRIMIDOS)/HIPOLABOR/C1;7898146821848
SULFAMETOXAZOL + TRIMETOPRINA PED 50ML/SOBRAL;7890000158909
SUCCINATO DE METOPROLOL 100MG COMP;7890000129091
GEL P/ ULTRASOM 1KG/ADLIN;7891268148299
LENCOL DESC. C/ ELASTICO 2 X 0,9 PCT C/10 UN/AVENPAR;7890000156974
ATADURA GESSADA ORTOP. 8CM X 2M C/20/POLAR FIX;7890000161992
SERINGA 1ML PARA INSULINA C/AGULHA 13 X 4,5;7890000111683
FORXIGA DAPAGLIFOZINA 10MG COMP/ASTRAZENECA;7896016807916
VALSARTANA 160MG COMP/GERMED;7896004732916
AMPICILINA 50MG/ML SUS OPC 60ML/PRATI, DONADUZZI;7899547502220
DOBEVEN 500MG C/30 COMP/APSEN;7896637025423
TIMOSOPT SOL OF 5ML FR/NEO QUIMICA;7896714224367
BACLOFENO 10MG C/20 COMP/TEUTO;7896112141693
ISOSSORBIDA MONONITRATO 20MG COMP/ZYDUS NIKKHO;7898910350437
ROSUVASTATINA 10MG C/30 COMP/GERMED;7896004729657
VATIS 150MG C/60 COMP/LIBBS;7896094208933
NIMODIPINO 30MG C/30 COMP/VITAMEDIC;7898049790593
GLICOSE SOLUCAO ESTERIL E APIROGENICA - 250ML;7896137650132
ALENDRONATO SODICO;7898109249887
SOLUCAO SALINA BALANCEADA 500 ML;7896727849151
NUTRIFLEX LIPID SPECIAL 1875ML;4030539044004
SOL. GLIC. 10% ECOFLAC 250ML;7891543000205
NUTRIFLEX LIPID PLUS 1250 ML;4030539044035
NUTRIFLEX LIPID PLUS 1875 ML;4030539044042
BENALET MEL LIMAO C/12 PAST-REFERENCIA;7891268402025
NASOCLEAN 125 ML-OUTROS;7896015530372
ANDROSTEN UNO 15 CPR-OUTROS;7896083410323
METAMUCIL SOLUVEL LARAN 10X5,85G-OUTROS;20800750165
DIPIRONA 500MG 240 CPR NQ-GENERICO;7895296210959
CETOCONAZOL+DIPRO BET PM 30G EMS-GENERICO;7896004705118
CLORETO DE SODIO,  0,9% SOLUCAO INJETAVEL, SISTEMA FECHADO  500ML - HALEX ISTAR;7896727841315
CLORETO DE SODIO, 0,9% SOLUCAO INJETAVEL, FRASCO COM ABERTURA TWIST OFF - ISOFARMA;27898361700045
LORATADINA, 1MG/ML, XAROPE 100ML  - PRATI;7898148294480
AMOXICILINA, ASSOCIADA COM CLAVULANATO DE POTASSIO, 500MG + 100MG, PO LIOFILO P/ INJETAVEL - BLAUSIEGEL;7896242123101
ACIDO VALPROICO  250MG/5ML 100ML (VALPROATO DE SODIO) LISTA C1 GENERICO TEUTO;7896112121459
ACIDO VALPROICO  250MG/5ML 100ML (VALPROATO DE SODIO) LISTA C1 TEUTO;7896112121459
TRAMADOL 50MG/ML 1ML LISTA A2 GENERICO HALEX ISTAR;7896727806888
HIDROXIDO ALUMINIO 37MG + HIDROXIDO DE MAGNESIO 35,6MG 100ML - MARIOL;7898610760048
MIDAZOLAM 5MG/ML 10ML LISTA B1 GENERICO TEUTO;7896112175230
GLICOSE, 5% SOLUCAO INJETAVEL, SISTEMA FECHADO  250ML - SANOBIOL;7898153652374
GLICOSE  5%  SOLUCAO INJETAVEL, SISTEMA FECHADO 500ML - SANOBIOL;7898153652381
GLICOSE,  25%  SOLUCAO INJETAVEL 10ML -  SAMTEC;7898415823016
ACIDO MUCOPOLISSACARIDEO 5MG/ML GEL 40GR;7896006280507
ANESTESICO TOPICO BENZOTOP TUTI-FRUTI DFL;7894590503910
ALCOOL 70% ANTISSEPTICO 50 ML - FARMAX;7896902205048
ALCOOL ETILICO 77 GL - 70 INPM 50ML;7896902205048
MIOCARDIL 30 MG 30 CP NIMODIPINA VIT.;7898049790593
PYLORITRAT IBP 14+14+28+28 LANS CA AMOX+ASS TEU. (*);7896112118763
GINKOTAB 80 MG 30 CP GINKGO BILOBA NEO.;7896622304298
HIDROXIDO DE ALUMINIO G. EMS SUS 240 ML;7896004701288
MESALASINA G. GER 800 MG 30 CP;7896004712970
DESLORATADINA G. GER XPE 60 ML;7896004726410
BETAMETASONA + AC SALIC G. GER SOL 30 ML;7896004720937
INDAFIX 1,5 MG 60 CP INDAPAMINA NQM.;7895296228039
INDAPAMIDA G. EMS 1,5 MG 30 CP;7896004728827
ACEBROFILINA G. GER 5 MG/ML XPE INF 120 ML;7896004710488
DEXCLORFENIRAMINA G. GER CR 30 G;7896004720791
CELERG 2/0,25 MG 20 CP DEXCLORFENIRAMINA+BETA LEG.;7896004706528
DIUPRESS 25 MG;7891317000288
HIDROXIZINA 25MG;7894916146111
SOCIAN 200 MG;7897595901651
GLIFAGE XR 500 MG;7891721027468
BUPROPIONA 150MG;7896004732657
MIOCARDIL 30 MG;7898049790593
PRISTIQ 100MG C/28;7891045009942
ULTIBRO 110+50MCG PO INAL 30 CAP+1 INAL;7896261018860
MANITOL 20 SOLINJ ENDOVENOSA 250ML SISTEMA FECHADO -;7898007677416
SORO FISIOLOGICO 09 500ML -;7897947706491
ALTEPLASE 20MG20ML -;7896026305389
LOSARTANA POTASSICA 50MG C30 -;7896004708539
FLUMAZENIL 01MGML 5ML C5 -;7896112173618
GLIMEPIRIDA 2MG C30 -;7896004711164
HEMIFUMARATO BISOPROLOL 5MG C30 -;7896004739588
HIDROXIDO ALUMINIIO 6HIDROXIDO MAGNESIO 4 SUSP ORAL 240ML -;7898016411018
CLORIDRATO BUPROPIONA 150MG C60 -;7895296099059
PANTOPRAZOL SODICO SESQUIHIDRATADO 40MG C28 -;7895296199049
INDAPAMIDA SR 15MG C30 -;7896004728957
BISSULFATO CLOPIDOGREL 75MG C28 -;7895296257015
SOLUCAO CLORETO SODIO 09 500ML -;7897947706491
CLORIDRATO NARATRIPTANA 25MG C10 -;7895296286015
DEXAMETASONA 4MG -;7896112155010
ISOFLURANO 100ML -;7897406113068
DIVALPROATO SODIO 250MG -;7896255762465
ESCOPOLAMINADIPIRONA SODICA SOL INJ -;7898166040670
BISSULFATO CLOPIDOGREL 75MG -;7894916145008
HIPOGLOS POM 45G P.M.C. 17.19;7896093003201
FRD T MONICA MEGA G 48UN P.M.C. 39.50;7896007510771
FP FRD BIGFRAL NOT G 7UN P.M.C. 22.90;7896012801895
FP FRD BIGFRAL PLUS G 8UN P.M.C. 19.90;7896012800836
FRD T MONICA MEGA XG 42UN P.M.C. 39.50;7896007510788
SULF NEOMIC BACITRACINA 50G GN MED P.M.C. 19.93;7896422504478
FRD PERSONAL BABY MEGA XG 42UN P.M.C. 34.80;7896110005706
EVOMIXAN 20MG INJ.;7898916127392
CLORIDRATO DE TRAMADOL 50MG ML 1 ML;7896727806888
VALPROATO DE SODIO 250MG 5ML;7896112121459
ATROPINA 0,25MG 1ML;7898361700300
CLORETO DE SODIO 0,9% AMPOLA 10ML;7898361700041
CLORIDRATO DE METOCLOPRAMIDA 5MG ML AMP 2ML IV IM;7898361700591
AGUA DESTILADA PARA INJECAO 10ML SAMTEC;7898415821012
ARTROLIVE CX 30 ENV X 4G;7896658021268
CLORETO DE POTASSIO 19,1% INJ CX 200 AMP X 10ML;7898415824013
OMEPRAZOL 20MG CX 40 BL X 14 CAPS GEN;7898148290116
GLIBENCLAMIDA 5MG CX 30 COMP GEN;7899095249707
CLORIDRATO DE SERTRALINA 50MG CX 30 COMP REV GEN;7899095242203
CITRATO DE FENTANILA 50MCG/ML INJ CX 50 AMP X 10ML;7898470680807
MIDAZOLAM 5MG/ML INJ CX 100 AMP X 3ML IV/IM GEN;7898123907466
BISSULFATO DE CLOPIDOGREL 75MG CX 28 COMP REV GEN;7895296365017
PANTOPRAZOL 40MG CX 14 COMP REV GEN;7895296199018
MENOCOL 40MG CX 30 COMP REV;7896472502936
LANSOPRAZOL 30MG CX 28 CAPS GEN;7896004709833
VALSARTANA 320MG CX 30 COMP REV GEN;7896004732855
CLORIDRATO DE VENLAFAXINA 37,5MG CX 30 CAPS GEN;7891317464523
SINVASTATINA 40MG CX 30 COMP REV GEN;7896472511853
FINASTERIDA 5MG CX 30 COMP GEN;7895296276047
AFOPIC 5MG CX 20 COMP;7896112198246
CONCARDIO 2,5MG CX 30 COMP REV;7894916508506
TRIDIL 5MG/ML INJ CX 10 AMP X 5ML IV;7896676415308
AGUA PARA INJECAO INJ CX 200 AMP X 20ML;7898415821029
SUCCITRAT 100MG CX 1 FR-AMP IV/IM;7896014682140
ECOFILM 0,5% SOL OFT GTS FR 5ML C/C;7896180300275
PROPIONATO DE CLOBETASOL 0,5MG/G POM BG 30G C/C GE;7895296210423
BETAMETASONA 0,5MG/5ML ELIXIR FR 120ML C/C GEN;7896004716435
ISOVIT 150MG CX 60 COMP;7896202500980
SORO GLICOSADO SIST FECHADO 5% FR 1000ML IV;7898153652398
OLEO MINERAL FR 100ML PURO S/C;7897848502147
MALEATO DE TIMOLOL 0,5% SOL OFT FR 5ML C/C GEN;7896004715711
PRATI-SAL CX 50 ENV X 27,9G;7898148293780
SEVOFLURANO 250ML GEN;7897406113051
ACEBROFILINA 25MG/5ML XPE PED FR 120ML C/C GEN;7896004710464
CONDROFLEX C/30 SACHE;7892953000328
CLORETO DE SODIO 0,9% SF 100ML 100FR - HALEX;7896727841247
*SOROFARM 500 ML BIOFARM;7898416701672
CANDESARTANA+HCT 16+12,5MG 30CPR;7895296168021
EXELON 3,0 MG 28CAP (ARMA);7896261007772
KEPPRA 100MG;5413787006793
