,CodigoNFe,DataEmissao,MunicipioEmitente,unidadecomercial,quantidadecomercial,valorunitariocomercial,DescricaoProduto,CLEAN
168901,1108473,2018-06-18,RIO DE JANEIRO,CPR,25000.0,0.14,DIPIRONA 500MG COMPRIMIDO.MEDLEY,37897732602534
168902,1108473,2018-06-18,RIO DE JANEIRO,FR,2000.0,1.8,DIPIRONA SODICA 500MG/ML SOL OR X 20ML.EMS,7896422506236
168928,1111612,2018-06-04,N/I,FR,990.0,0.58,DIPIRONA SODICA 500 MG SOLUCAO ORAL FRASCO 10ML MAXALGINA NATULAB,7898133131141
168935,1111625,2018-06-12,N/I,FR,129.0,1.26,DIPIRONA SODICA 500 MG SOLUCAO ORAL FRASCO 10ML MAXALGINA NATULAB,7898133131141
168938,1111627,2018-06-12,N/I,FR,28.0,1.26,DIPIRONA SODICA 500 MG SOLUCAO ORAL FRASCO 10ML MAXALGINA NATULAB,7898133131141
168939,1111628,2018-06-12,N/I,FR,220.0,1.26,DIPIRONA SODICA 500 MG SOLUCAO ORAL FRASCO 10ML MAXALGINA NATULAB,7898133131141
168940,1111629,2018-06-12,N/I,FR,130.0,1.26,DIPIRONA SODICA 500 MG SOLUCAO ORAL FRASCO 10ML MAXALGINA NATULAB,7898133131141
168943,1111630,2018-06-12,N/I,FR,130.0,1.26,DIPIRONA SODICA 500 MG SOLUCAO ORAL FRASCO 10ML MAXALGINA NATULAB,7898133131141
168944,1111631,2018-06-12,N/I,FR,60.0,1.26,DIPIRONA SODICA 500 MG SOLUCAO ORAL FRASCO 10ML MAXALGINA NATULAB,7898133131141
168946,1111632,2018-06-12,N/I,FR,300.0,1.26,DIPIRONA SODICA 500 MG SOLUCAO ORAL FRASCO 10ML MAXALGINA NATULAB,7898133131141
168999,1112382,2018-06-18,N/I,CPR,140.0,0.68,HIOSCINA + DIPIRONA 250+10MG ESCOPEN PHARLAB,7898216361618
169001,1112386,2018-06-18,N/I,AMP,1000.0,0.6364,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
169006,1112402,2018-06-20,N/I,CPR,25660.0,0.0856,"DIPIRONA SODICA 500 MG PRATI, DONADUZZI",7898148294121
169028,1113421,2018-06-19,NILOPOLIS,CPR,600.0,0.17,"Carvedilol 12,5mg Ictus Biolab",7896112411314
169049,1113423,2018-06-21,NILOPOLIS,CPR,7000.0,1.13,"Carvedilol 12,5mg com bl al plas Ictus Biolab",7896112411314
169159,1114022,2018-06-06,Miracema,FRS,4235.0,3.72,DIPIRONA SODICA 500MG/ML 20ML-.,N/I
169160,1114027,2018-06-28,Miracema,CP,60000.0,0.22,DIPIRONA SODICA 500MG-.,N/I
169199,1115144,2018-06-08,N/I,AMP,7000.0,0.98,DIPIRONA 500MG ML CX 120 AMP 2ML Reg.MS:1037004700052 TEUTO,N/I
169200,1115145,2018-06-08,N/I,AMP,5000.0,0.98,DIPIRONA 500MG ML CX 120 AMP 2ML Reg.MS:1037004700052 TEUTO,N/I
169201,1115146,2018-06-08,N/I,AMP,6800.0,0.98,DIPIRONA 500MG ML CX 120 AMP 2ML Reg.MS:1037004700052 TEUTO,N/I
169202,1115147,2018-06-08,N/I,AMP,6600.0,0.98,DIPIRONA 500MG ML CX 120 AMP 2ML Reg.MS:1037004700052 TEUTO,N/I
169203,1115148,2018-06-08,N/I,AMP,4300.0,0.98,DIPIRONA 500MG ML CX 120 AMP 2ML Reg.MS:1037004700052 TEUTO,N/I
169286,1118783,2018-06-07,Cachoeiras de Macacu,COMP,74000.0,0.07,DIPIRONA 500MG COMP,7898148294121
169308,1118796,2018-06-08,Cachoeiras de Macacu,COMP,8000.0,0.07,DIPIRONA 500MG COMP,7898148294121
169310,1118796,2018-06-08,Cachoeiras de Macacu,AMP,4800.0,0.27,DIPIRONA 1G/2ML AMP,7896112126584
169328,1118805,2018-06-08,Cachoeiras de Macacu,AMP,49000.0,0.27,DIPIRONA 1G/2ML AMP,7896112126584
169329,1118805,2018-06-08,Cachoeiras de Macacu,COMP,92000.0,0.07,DIPIRONA 500MG COMP,7898148294121
169333,1118808,2018-06-11,Cachoeiras de Macacu,AMPOLA,32400.0,0.33,DIPIRONA SODICA SOLUCAO INJETAVEL IM/IV 500MG/ML AMPOLA 2ML,7898404220147
169408,1118885,2018-06-15,Cachoeiras de Macacu,CP,40.0,0.7,DIPIRONA SODICA + BUTILBROMETO DE ESCOPOLAMINA + BROMIDATO HIOSCIAMINA + ME.,7894916208154
169415,1118890,2018-06-15,Cachoeiras de Macacu,FRASCO,30.0,3.57,BROMETO DE NBUTILESCOPOLAMINA + DIPIRONA (GOTAS),N/I
169416,1118891,2018-06-15,Cachoeiras de Macacu,FR,500.0,1.26,DIPIRONA GOTAS 500 MG/ML 20ML,7898166040885
169418,1118908,2018-06-18,Cachoeiras de Macacu,FR,60.0,0.78,DIPIRONA SODICA 500MG/ML 10ML FR,7898166040854
169443,1118924,2018-06-19,Cachoeiras de Macacu,AMP,3000.0,0.3,DIPIRONA SODICA 500MG/ML 2ML AP,7896112126584
169444,1118926,2018-06-19,Cachoeiras de Macacu,FRASCO,20.0,1.42,DIPIRONA SODICA 500MG/ML,N/I
169487,1118961,2018-06-25,Cachoeiras de Macacu,AMP,250.0,0.85,00000015631 - DIPIRONA SODICA 1G/2ML,7896112126584
169488,1118964,2018-06-26,Cachoeiras de Macacu,FR,40.0,8.05,"BROMETO DE N - BUTILESCOPOLAMINA + DIPIRONA SODICA SOL.ORAL GOTAS 6,7mg + 333,4mg/ml - 20ml",N/I
169519,1119000,2018-06-28,Cachoeiras de Macacu,FR,1000.0,0.7,DIPIRONA 500MG/ML - GOTAS,7898166040854
169521,1119002,2018-06-28,Cachoeiras de Macacu,FR,1000.0,2.8,DIPIRONA SODICA 500MG/ML 10ML FR,N/I
169523,1119002,2018-06-28,Cachoeiras de Macacu,CP,5000.0,0.18,DIPIRONA SODICA 500MG CP,7898148294121
169551,1119546,2018-06-12,N/I,CX,2.0,38.4,DIPIRONA SODICA 500MG ML 2ML INJETAVEL GEN CX C  120 AP DIPIRONA TEUTO,N/I
169552,1119546,2018-06-12,N/I,CX,11.0,38.4,DIPIRONA SODICA 500MG ML 2ML INJETAVEL GEN CX C  120 AP DIPIRONA TEUTO,N/I
169553,1119546,2018-06-12,N/I,CX,1.0,38.4,DIPIRONA SODICA 500MG ML 2ML INJETAVEL GEN CX C  120 AP DIPIRONA TEUTO,N/I
169554,1119556,2018-06-13,N/I,AP,3000.0,0.32,DIPIRONA SODICA 500MG ML 2ML INJETAVEL GEN CX C  120 AP DIPIRONA TEUTO,N/I
169556,1119570,2018-06-15,N/I,CX,2.0,38.4,DIPIRONA SODICA 500MG ML 2ML INJETAVEL GEN CX C  120 AP DIPIRONA TEUTO,N/I
169558,1119598,2018-06-18,N/I,CP,1000.0,0.07,DIPIRONA SODICA 500MG COMP CX C  500 COMP DIPIRONA PRATI,N/I
169559,1119599,2018-06-18,N/I,CP,1000.0,0.07,DIPIRONA SODICA 500MG COMP CX C  500 COMP DIPIRONA PRATI,N/I
169560,1119600,2018-06-18,N/I,CP,1000.0,0.07,DIPIRONA SODICA 500MG COMP CX C  500 COMP DIPIRONA PRATI,N/I
169561,1119603,2018-06-18,N/I,CP,200000.0,0.07,DIPIRONA SODICA 500MG COMP CX C  500 COMP DIPIRONA PRATI,N/I
169577,1121065,2018-06-01,N/I,UND,400.0,0.13,DIPIRONA SODICA 500MG CX C 500 BLS C 10 COMP Lt: 18A14B Val.: 12 01 2020,N/I
169578,1121071,2018-06-05,N/I,CX,5.0,61.2,DIPIRONA SODICA 500MG 2ML CX C 120 TEUTO  Lt: 26583352 12 19 Val.: 13 12 2019,N/I
169652,1121478,2018-06-07,N/I,CAR,6.0,3.4,"CARVEDILOL 12,5MG BIOLAB",7896112411314
169656,1121481,2018-06-07,N/I,CAR,100.0,1.0624,"DIPIRONA 500MG PRATI, DONADUZZI",7898148294121
169689,1121531,2018-06-15,N/I,CAR,1.0,1.136,"DIPIRONA 500MG PRATI, DONADUZZI",7898148294121
169692,1121538,2018-06-18,N/I,CAR,3.0,1.136,"DIPIRONA 500MG PRATI, DONADUZZI",7898148294121
169716,1121552,2018-06-19,N/I,CAR,50.0,1.0624,"DIPIRONA 500MG PRATI, DONADUZZI",7898148294121
169734,1121586,2018-06-25,N/I,CX,17.0,57.6,DIPIRONA SODICA 500MG/2ML IV/IM TEUTO,7896112126584
169739,1121593,2018-06-27,N/I,CX,17.0,57.6,DIPIRONA SODICA 500MG/2ML IV/IM TEUTO,7896112126584
169742,1121598,2018-06-28,N/I,CX,1.0,72.0,DIPIRONA SODICA 500MG/2ML IV/IM TEUTO,7896112126584
169743,1121599,2018-06-28,N/I,CX,1.0,42.9,DIPIRONA SODICA 500MG/2ML IV/IM TEUTO,7896112126584
169744,1121599,2018-06-28,N/I,CX,3.0,42.9,DIPIRONA SODICA 500MG/2ML IV/IM TEUTO,7896112126584
169745,1121599,2018-06-28,N/I,CX,10.0,42.9,DIPIRONA SODICA 500MG/2ML IV/IM TEUTO,7896112126584
169746,1121599,2018-06-28,N/I,CX,11.0,42.9,DIPIRONA SODICA 500MG/2ML IV/IM TEUTO,7896112126584
169789,1122102,2018-06-29,N/I,AP,2900.0,0.66,DIPIRONA SODICA 500MG/ML 2ML,7896112126584
169793,1122103,2018-06-29,N/I,AP,2400.0,0.66,DIPIRONA SODICA 500MG/ML 2ML,7896112126584
169826,1122536,2018-06-29,N/I,amp,12000.0,0.76,DIPIRONA SODICA 1G INJ 2ML L.24583155 V.05/19,N/I
169829,1122714,2018-06-25,N/I,AMP,2400.0,0.54,DIPIRONA INJETAVEL 2ML,N/I
169897,1123592,2018-06-18,N/I,FR,15.0,3.9,DIPIRONA GOTAS 10 ML (MAXALGINA) C/200 - NATULAB,7898133131141
169898,1123592,2018-06-18,N/I,CP,500.0,0.66,DIPIRONA SODICA 500MG CX 50 BL X 10 COMP GEN - PRATI,7898148294121
169914,1123766,2018-06-01,NOVA IGUACU,UNIDAD,100.0,2.28,BUTILBROMETO DE ESCOPOLAMINA 10 MG/ML + DIPIRONA FR PLAS OPC GOT X 20 ML,N/I
169918,1123766,2018-06-01,NOVA IGUACU,UNIDAD,500.0,3.05,DIPIRONA SOL. ORAL 500MG/ML FR. 10ML  FRASCO - 75%,N/I
169941,1123803,2018-06-27,NOVA IGUACU,CP,600.0,0.13,DIPIRONA SODICA 500MG CP,7898148294121
169948,1124033,2018-06-01,N/I,UND,840.0,0.45,DIPIRONA SODICA 500 MG ML AMP 2 ML,N/I
170235,1146383,2018-06-06,Nova Friburgo,AMP,3360.0,0.345,DIPIRONA SODICA-500 MG/ML CX 120 AMP 2ML GEN,7896112126584
170242,1146467,2018-06-15,Nova Friburgo,CP,34500.0,0.15,DIPIRONA-500MG CX 48 BLISTER X 10 COMP FRAC GEN,N/I
170246,1146492,2018-06-20,Nova Friburgo,CP,8000.0,0.22,DIPIRONA-500MG CX 48 BLISTER X 10 COMP FRAC GEN,N/I
170247,1146492,2018-06-20,Nova Friburgo,CP,8000.0,0.22,DIPIRONA-500MG CX 48 BLISTER X 10 COMP FRAC GEN,N/I
170261,1146539,2018-06-25,Nova Friburgo,AMP,2400.0,0.4,DIPIRONA SODICA-500 MG/ML CX 120 AMP 2ML GEN,7896112126584
170291,1152527,2018-07-05,N/I,AMP,600.0,0.6,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
170292,1152527,2018-07-05,N/I,AMP,360.0,0.6,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
170308,1152549,2018-07-10,N/I,AMP,3000.0,0.48,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
170314,1152552,2018-07-10,N/I,AMP,3000.0,0.48,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
170320,1152553,2018-07-10,N/I,AMP,3000.0,0.48,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
170339,1152563,2018-07-11,N/I,CPR,40.0,0.53,BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SODICA PHARLAB,7898216361618
170357,1152593,2018-07-16,N/I,AMP,1080.0,0.43,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
170378,1152641,2018-07-24,N/I,CPR,500.0,0.11,"DIPIRONA SODICA 500 MG GENERICO PRATI, DONADUZZI",7898148294121
170393,1152950,2018-07-02,Rio de Janeiro,COM,250.0,0.192,DIPIRONA SÃ“DICA 500 MG   Lt:18E619 F:01-05-18 V:01-05-20,N/I
170396,1152950,2018-07-02,Rio de Janeiro,COM,250.0,0.192,DIPIRONA SÃ“DICA 500 MG   Lt:18F124 F:01-05-18 V:01-05-20 PRATI DONADUZZI,N/I
170397,1152950,2018-07-02,Rio de Janeiro,AMP,1000.0,0.72,DIPIRONA SÃ“DICA 500MG/ML - AMPOLA 2 ML Lt:26583391 F:01-01-18 V:01-01-20 TEUTO,N/I
170405,1152950,2018-07-02,Rio de Janeiro,FRA,100.0,1.188,DIPIRONA SÃ“DICA 500MG/ML - FRASCO 10 ML Lt:DS18B105 F:01-02-18 V:01-02-20 FARMACE,N/I
170416,1152953,2018-07-02,Rio de Janeiro,COM,2500.0,0.192,DIPIRONA SÃ“DICA 500 MG   Lt:18F124 F:01-05-18 V:01-05-20 PRATI DONADUZZI,N/I
170418,1152953,2018-07-02,Rio de Janeiro,FRA,200.0,1.188,DIPIRONA SÃ“DICA 500MG/ML - FRASCO 10 ML Lt:DS18B105 F:01-02-18 V:01-02-20 FARMACE,N/I
170419,1152953,2018-07-02,Rio de Janeiro,AMP,500.0,0.72,DIPIRONA SÃ“DICA 500MG/ML - AMPOLA 2 ML Lt:26583413 F:01-01-18 V:01-01-20 TEUTO,N/I
170425,1152959,2018-07-16,Rio de Janeiro,FRA,250.0,1.188,DIPIRONA SÃ“DICA 500MG/ML - FRASCO 10 ML Lt:DS18F283 F:01-06-18 V:01-06-20 FARMACE,N/I
170426,1152959,2018-07-16,Rio de Janeiro,AMP,500.0,0.72,DIPIRONA SÃ“DICA 500MG/ML - AMPOLA 2 ML Lt:DP18E092 F:01-05-18 V:01-05-20 FARMACE,N/I
170428,1152959,2018-07-16,Rio de Janeiro,COM,2500.0,0.192,DIPIRONA SÃ“DICA 500 MG   Lt:18B04A F:01-02-18 V:01-02-20 SOBRAL,N/I
170436,1152962,2018-07-19,Rio de Janeiro,COM,500.0,0.192,DIPIRONA SÃ“DICA 500 MG   Lt:18F44B F:01-06-18 V:01-06-20 PRATI DONADUZZI,N/I
170439,1152962,2018-07-19,Rio de Janeiro,AMP,600.0,0.72,DIPIRONA SÃ“DICA 500MG/ML - AMPOLA 2 ML Lt:DP18E092C-6/1 F:01-05-18 V:01-05-20 FARMACE,N/I
170453,1152965,2018-07-19,Rio de Janeiro,AMP,200.0,0.72,DIPIRONA SÃ“DICA 500MG/ML - AMPOLA 2 ML Lt:26583413 F:01-01-18 V:01-01-20 TEUTO,N/I
170457,1152968,2018-07-20,Rio de Janeiro,COM,500.0,0.192,DIPIRONA SÃ“DICA 500 MG   Lt:18F44B F:01-06-18 V:01-06-20 PRATI DONADUZZI,N/I
170459,1152968,2018-07-20,Rio de Janeiro,AMP,600.0,0.72,DIPIRONA SÃ“DICA 500MG/ML - AMPOLA 2 ML Lt:DP18E092C-6/1 F:01-05-18 V:01-05-20 FARMACE,N/I
170473,1152971,2018-07-20,Rio de Janeiro,AMP,200.0,0.72,DIPIRONA SÃ“DICA 500MG/ML - AMPOLA 2 ML Lt:26583413 F:01-01-18 V:01-01-20 TEUTO,N/I
170554,1157369,2018-07-25,N/I,UN,23000.0,0.25,DIPIRONA 500MG,N/I
170582,1158222,2018-07-13,RIO DE JANEIRO,FR,12685.0,1.33,DIPIRONA 500MG/ML GOTAS. FRASCO COM 10ML (DIPIRONA 500MG/ML GOTAS. FRASCO COM 10ML ),7897732601871
170583,1158222,2018-07-13,RIO DE JANEIRO,FR,10000.0,1.33,DIPIRONA 500MG/ML GOTAS. FRASCO COM 10ML (DIPIRONA 500MG/ML GOTAS. FRASCO COM 10ML ),7897732601871
170603,1158243,2018-07-26,RIO DE JANEIRO,AMP,5450.0,0.65,DIPIRONA SODICA 500MG/ML SOL. INJ. 2ML -TEUTO,7896112126584
170661,1167576,2018-07-04,N/I,UN,6000.0,0.064,DIPIRONA SODICA 500MG C500 - Lote: 18E201 Validade: 30/04/2020,7898148294121
170679,1167589,2018-07-05,N/I,UN,400.0,0.064,DIPIRONA SODICA 500MG C500 - Lote: 18E201 Validade: 30/04/2020,7898148294121
170689,1167593,2018-07-09,N/I,UN,6000.0,0.064,DIPIRONA SODICA 500MG C500 - Lote: 18E201 Validade: 30/04/2020,7898148294121
170703,1167597,2018-07-09,N/I,UN,400.0,0.064,DIPIRONA SODICA 500MG C500 - Lote: 18E201 Validade: 30/04/2020,7898148294121
170706,1167614,2018-07-13,N/I,UN,5040.0,0.74,DIPIRONA SODICA 500MGML 2ML SOLINJ C120 - Lote: 26583413 Validade: 01/01/2020,7896112126584
170708,1167617,2018-07-16,N/I,TB,1000.0,0.48,ESCOPOLAMINADIPIRONA SODICA - Lote: 103068 Validade: 28/02/2019,7898216361076
170710,1167619,2018-07-17,N/I,UN,5500.0,0.7,DIPIRONA SODICA 500MG C500 - Lote: 18E201 Validade: 30/04/2020,7898148294121
170711,1167631,2018-07-18,N/I,UN,500.0,0.13,DIPIRONA SODICA 500MG - Lote: 18E201 Validade: 30/04/2020,7898148294121
170714,1167632,2018-07-18,N/I,UN,500.0,0.13,DIPIRONA SODICA 500MG - Lote: 18E201 Validade: 30/04/2020,7898148294121
170719,1167633,2018-07-18,N/I,UN,400.0,0.13,DIPIRONA SODICA 500MG C500 - Lote: 18E201 Validade: 30/04/2020,7898148294121
170725,1167635,2018-07-18,N/I,UN,2000.0,0.064,DIPIRONA SODICA 500MG C500 - Lote: 18E201 Validade: 30/04/2020,7898148294121
170733,1167639,2018-07-18,N/I,UN,5040.0,0.74,DIPIRONA SODICA 500MGML 2ML SOLINJ C120 - Lote: 26583413 Validade: 01/01/2020,7896112126584
170737,1167646,2018-07-19,N/I,UN,5500.0,0.7,DIPIRONA SODICA 500MG C500 - Lote: 18E201 Validade: 30/04/2020,7898148294121
170750,1167672,2018-07-26,N/I,UN,75000.0,0.15,DIPIRONA SODICA 500MG - Lote: 18E201 Validade: 30/04/2020,7898148294121
170758,1167686,2018-07-31,N/I,UN,19200.0,0.13,DIPIRONA SODICA 500MG C500 - Lote: 18E201 Validade: 30/04/2020,7898148294121
170769,1168540,2018-07-13,N/I,AMP,2520.0,0.3629,DIPIRONA SODICA 500MG ML AMP 2ML IV IM,N/I
170772,1168561,2018-07-23,N/I,CPR,100.0,0.08,DIPIRONA 500MG CX C  50 BLISTERES X 10 CP,7898148294121
170801,1168693,2018-07-11,SANTO ANTONIO DE PADUA,CX,12.0,85.0,DIPIRONA SODICA 500MG CX 50 BL X 10 COMP GEN,7898148294121
170822,1168699,2018-07-12,SANTO ANTONIO DE PADUA,CX,12.0,85.0,DIPIRONA SODICA 500MG CX 50 BL X 10 COMP GEN,7898148294121
170850,1168705,2018-07-13,SANTO ANTONIO DE PADUA,CX,2.0,50.0,DIPIRONA SODICA 500MG CX 50 BL X 10 COMP GEN,7898148294121
170929,1168767,2018-07-26,SANTO ANTONIO DE PADUA,CX,166.0,50.0,DIPIRONA SODICA 500MG CX 50 BL X 10 COMP GEN,7898148294121
170945,1173185,2018-07-31,N/I,AMP,10.0,0.72,ESCOPOLAMINA 20MG / DIPIRONA 2 5G AMP 5ML,N/I
170993,1176339,2018-07-12,N/I,UN,15000.0,0.5,BUTILBROMETO DE ESCOPOLAMINA 10MG+DIPIRONA 250MG,7898216361618
170994,1176342,2018-07-19,N/I,UN,11600.0,0.5,BUTILBROMETO DE ESCOPOLAMINA 10MG+DIPIRONA 250MG,7898216361618
170996,1176344,2018-07-20,N/I,UN,7200.0,0.5,BUTILBROMETO DE ESCOPOLAMINA 10MG+DIPIRONA 250MG,7898216361618
170998,1176345,2018-07-23,N/I,UN,5000.0,0.5,BUTILBROMETO DE ESCOPOLAMINA 10MG+DIPIRONA 250MG,7898216361618
171037,1179702,2018-07-30,RIO DE JANEIRO,CPR,25000.0,0.14,DIPIRONA 500MG COMPRIMIDO.MEDLEY,-1
171038,1179702,2018-07-30,RIO DE JANEIRO,FR,2000.0,1.8,DIPIRONA SODICA 500MG/ML SOL OR X 20ML.EMS,-1
171150,1183597,2018-07-04,N/I,CPR,100.0,0.0856,"DIPIRONA SODICA 500 MG PRATI, DONADUZZI",7898148294121
171159,1183637,2018-07-11,N/I,CPR,4240.0,0.0856,"DIPIRONA SODICA 500 MG PRATI, DONADUZZI",7898148294121
171200,1183681,2018-07-24,N/I,FR,2000.0,0.7784,DIPIRONA SODICA 500MG/ML 10ML NATULAB,7898133131141
171235,1183698,2018-07-31,N/I,FR,400.0,2.42,DIPIRONA SODICA 500MG/ML 20ML NATULAB,7898133131158
171400,1184904,2018-07-30,N/I,AMP,1500.0,0.86,DIPIRONA 500MG/ML INJETAVEL,1000092900324
171477,1185001,2018-07-03,Miracema,FRS,1500.0,4.73,DIPIRONA SODICA 500MG/ML 20ML-.,N/I
171485,1185014,2018-07-25,Miracema,AMP,4080.0,0.64,DIPIRONA SODICA 500MG/ML 2ML-.,N/I
171571,1188325,2018-07-03,N/I,AMP,1080.0,0.44,DIPIRONA 500MG 2ML IM IV - CX 120  CX C\ 120 AMP GENERICO,N/I
171577,1188330,2018-07-04,N/I,AMP,800.0,0.48,DIPIRONA 500MG 2ML IM IV - CX 120  CX C\ 120 AMP GENERICO,N/I
171578,1188332,2018-07-05,N/I,AMP,800.0,0.54,DIPIRONA 500MG 2ML IM IV - CX 120  CX C\ 120 AMP GENERICO,N/I
171661,744820,2018-02-20,N/I,CP,2000.0,0.1022,DIPIRONA SODICA 500MG 500CPR (GEN) - PRATI DONADUZZI,7898148294121
171666,744822,2018-02-22,N/I,CP,6000.0,0.1022,DIPIRONA SODICA 500MG 500CPR (GEN) - PRATI DONADUZZI,7898148294121
171706,745181,2018-03-28,N/I,AMP,600.0,0.33,DIPIRONA SODICA 500MG/ML 100AMP 2ML (DIPIFARMA) - FARMACE,N/I
171827,747144,2018-06-20,N/I,AP,600.0,0.3104,DIPIRONA SODICA 500MG/ML,7896112126584
171828,747145,2018-06-26,N/I,CP,1500.0,0.1,DIPIRONA SODICA 500MG,7898148294121
171859,747680,2018-07-26,N/I,CX,2.0,50.0,"DIPIRONA SODICA 500MG CP ORAL/AD GENERICO PRATI, DONADUZZI",7898148294121
171873,747789,2018-07-16,N/I,AP,3600.0,0.32,DIPIRONA SODICA 500MG/ML,7896112126584
171874,747790,2018-07-16,N/I,AP,2520.0,0.32,DIPIRONA SODICA 500MG/ML,7896112126584
171875,747793,2018-07-16,N/I,AP,2640.0,0.32,DIPIRONA SODICA 500MG/ML,7896112126584
171876,747794,2018-07-16,N/I,AP,6600.0,0.32,DIPIRONA SODICA 500MG/ML,7896112126584
171877,747796,2018-07-16,N/I,AP,3000.0,0.32,DIPIRONA SODICA 500MG/ML,7896112126584
171878,747796,2018-07-16,N/I,AP,1080.0,0.32,DIPIRONA SODICA 500MG/ML,7896112126584
171879,747798,2018-07-18,N/I,AP,7560.0,0.32,DIPIRONA SODICA 500MG/ML,7896112126584
171880,747799,2018-07-25,N/I,AP,7560.0,0.32,DIPIRONA SODICA 500MG/ML,7896112126584
171902,748339,2018-08-07,N/I,CX,4.0,50.0,"DIPIRONA SODICA 500MG CP ORAL/AD GENERICO PRATI, DONADUZZI",7898148294121
171983,749130,2018-09-12,N/I,CP,1500.0,0.1,DIPIRONA SODICA 500MG,7898148294121
171991,749136,2018-09-26,N/I,CP,5000.0,0.0842,DIPIRONA SODICA 500MG,7898148294121
172036,749733,2018-10-25,N/I,CP,1500.0,0.086,DIPIRONA SODICA 500MG,7898148294121
172099,750431,2018-11-14,N/I,CP,4500.0,0.0842,DIPIRONA SODICA 500MG,7898148294121
172184,751646,2018-01-14,N/I,AP,1440.0,0.41,DIPIRONA SODICA 500MG/ML,7896112126584
172185,751647,2018-01-14,N/I,AP,1800.0,0.41,DIPIRONA SODICA 500MG/ML,7896112126584
172186,751650,2018-01-14,N/I,AP,30000.0,0.41,DIPIRONA SODICA 500MG/ML,7896112126584
172202,752047,2018-02-18,N/I,CX,4.0,45.0,"DIPIRONA SODICA 500MG CP ORAL/AD GENERICO PRATI, DONADUZZI",-1
172227,752853,2018-03-28,N/I,CX,4.0,45.0,"DIPIRONA SODICA 500MG CP ORAL/AD GENERICO PRATI, DONADUZZI",7898148294121
172256,753779,2018-04-15,N/I,CX,4.0,45.0,"DIPIRONA SODICA 500MG CP ORAL/AD GENERICO PRATI, DONADUZZI",7898148294121
172306,755051,2018-01-16,N/I,AMP,600.0,0.47,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
172316,755058,2018-01-17,N/I,AMP,960.0,0.47,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
172320,755066,2018-01-18,N/I,AMP,720.0,0.47,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
172333,755077,2018-01-19,N/I,AMP,600.0,0.48,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
172334,755077,2018-01-19,N/I,AMP,1920.0,0.48,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
172350,755098,2018-01-22,N/I,AMP,2520.0,0.48,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
172360,755109,2018-01-23,N/I,AMP,2520.0,0.48,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
172385,755153,2018-01-31,N/I,AMP,760.0,0.47,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
172386,755153,2018-01-31,N/I,AMP,240.0,0.47,DIPIRONA SODICA 1G 2ML GENERICO TEUTO,7896112126584
172397,755446,2018-01-02,Rio de Janeiro,COM,500.0,0.192,DIPIRONA SÃ“DICA 500 MG   Lt:17E527 F:01-05-17 V:01-05-19 PRATI DONADUZZI,N/I
172399,755447,2018-01-02,Rio de Janeiro,COM,500.0,0.192,DIPIRONA SÃ“DICA 500 MG   Lt:17E527 F:01-05-17 V:01-05-19,N/I
172401,755447,2018-01-02,Rio de Janeiro,FRA,300.0,1.188,DIPIRONA SÃ“DICA 500MG/ML - FRASCO 10 ML Lt:34777L F:01-06-17 V:01-06-19 FARMACE,N/I
172403,755450,2018-01-02,Rio de Janeiro,FRA,100.0,1.188,DIPIRONA SÃ“DICA 500MG/ML - FRASCO 10 ML Lt:34777L F:01-06-17 V:01-06-19 FARMACE,N/I
172406,755452,2018-01-02,Rio de Janeiro,COM,400.0,0.72,DIPIRONA SÃ“DICA 500MG/ML - AMPOLA 2 ML Lt:DP171180 F:01-09-17 V:01-09-19 FARMACE,N/I
172407,755452,2018-01-02,Rio de Janeiro,COM,2000.0,0.192,DIPIRONA SÃ“DICA 500 MG   Lt:17J91A F:01-10-17 V:01-10-19 PRATI DONADUZZI,N/I
172409,755464,2018-01-12,Rio de Janeiro,AMP,300.0,0.72,DIPIRONA SÃ“DICA 500MG/ML - AMPOLA 2 ML Lt:11520817 F:01-10-17 V:01-10-19 SANTISA,N/I
172410,755465,2018-01-17,Rio de Janeiro,FRA,100.0,1.188,DIPIRONA SÃ“DICA 500MG/ML - FRASCO 10 ML Lt:0F3370 F:01-11-17 V:01-11-19 FARMACE,N/I
172411,755466,2018-01-17,Rio de Janeiro,COM,1500.0,0.192,DIPIRONA SÃ“DICA 500 MG   Lt:38017 F:01-11-17 V:01-11-19 SOBRAL,N/I
